item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	optional-payment-type-exclusion	status	maximum-retail-price
AJC David Silicone Candle Mold/Plaster Mold/DIY Candle Mold Candle Craft …	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	0401ZB4CD82	04-9AZR-H2CI	599	1	2022-04-01 18:36:54 IST		y	1			11				B09X1TQJNH						B09X1TQJNH			0	DEFAULT		Active	1000.0
APN Beauty Girl Fondant Cake Decorating Tools Chocolate Mould		1108YN75SLE	07-A304-9MBL	285	2	2021-11-08 19:32:31 IST		y	1			11				B08SBVZXJ6						B08SBVZXJ6			0	DEFAULT		Active	600.0
AKK Doll Hand Making Mould Man Woman Baby Hands Silicone Mold		1111YTW5QQ8	0J-Y27N-HUMA	178	1	2021-11-11 18:42:39 IST		y	1			11				B08HL8BYJF						B08HL8BYJF			0	DEFAULT		Active	400.0
RETAIL SUPPLIES ALK 3D Star Shape Silicone Cake Mold Baking Dish for Chocolate Cookies Fondant Birthday Wedding Cake Decorating Tools		1108YN70PRX	0Q-S1JE-VS1G	205	3	2021-11-08 19:36:02 IST		y	1			11				B082914QFZ						B082914QFZ			0	DEFAULT		Active	400.0
Vamana, an Avatar of Vishnu Silicone Mold. Affiliation Vaishnavism, Abode Vaikuntha, Satala Symbol Kamandalu and Umbrella FestivalsOnam, Balipratipada, Vamana Dvadashi Silicone Mold	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	1201ZC7IYHQ	0R-6ES4-45VX	225	2	2022-12-01 17:12:47 IST		y	1			11				B0BNQJMKMC						B0BNQJMKMC			0	DEFAULT		Active	400.0
AAW Blueberry Silicone Fondant Mold Cake Decorating Tools Cupcake Chocolate Dry Fruits Silicone Mold Flexible and Reusable Silicone Mold	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of oil or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	0218Z0A5DMS	0S-OOV8-TD2D	175	2	2022-02-18 15:32:09 IST		y	1			11				B09SV39ZLC						B09SV39ZLC			0	DEFAULT		Active	300.0
JoyGlobal Silicone Newborn Baby Mould, White	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of vaseline or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Cratial curve LLP, India. Made in India	0310YQEY07O	0W-SHWH-0DID	210	3	2021-03-10 17:23:05 IST		y	1			11				B01LYXEFH7						B01LYXEFH7			0	DEFAULT		Active	500.0
API Super Shiny 12 * 0.9cm Dandelion Coaster Resin Molds - Epoxy Silicone Molds - Silicon Mold Making for Craft	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of oil or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Cratial curve LLP, India. Made in India	0428Y3CC7TU	0Z-RHW9-56E2	221	1	2021-04-28 18:41:54 IST		y	1			11				B093QCGGVG						B093QCGGVG			0	DEFAULT		Active	600.0
ALY Wild Flower and Leaf Fondant Mold Rose Leaves Silicone Leaves Branch Leaves Silicone Mold Leaves Branch Fondant Mold		1105YJ0SNR4	1B-8ES0-TA9R	188	3	2021-11-05 17:39:58 IST		y	1			11				B08SMK5ZSS						B08SMK5ZSS			0	DEFAULT		Active	300.0
AKB Bow Silicone Mold Fondant Mould Cake Decorating Tools Gumpaste Molds		1108YN75DOG	1O-1OPX-0TM8	138	4	2021-11-08 19:34:15 IST		y	1			11				B0824NTK9V						B0824NTK9V			0	DEFAULT		Active	400.0
