item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	optional-payment-type-exclusion	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	maximum-retail-price
ANM Flower Lace Cake Mold Silicone Molds Chocolate Sugarcraft Wedding Party Fondant Christmas Cake Decorating Home Tools	Description: Brand new high quality. It is perfect for decorating cake, fondant, paste and so on. A great tool for you to make them easier. Flexible for easy removal,innovative design,soft,ever-changing style. It is easy for using and cleaning. Non-stick , easy to separate, clean, eco-friendly,low carbon, can be recycled Simple and useful, Healthfulness,natural antibackerial,High strength softness,corrosion resistant and Adaptability Not easy to damage,No crack,Resistance to extreme temperature Safety,Non-toxic, No smell , Heated evenly Specification: Material: silicone Color: malti Size: 12.7*8.8*0.9cm	1029X09F5U0	04-QZNO-H63U	272	4	2020-10-29 12:43:34 IST		y	1			11				B08M5LRXPX						B08M5LRXPX			0	DEFAULT																					700.0
ABV Flat Sea Pebbles Oblong Oval Shape Pebble Art Creative Silicone Mold Flexible and Reusable		0809ZGIJN7T	09-E2HV-CARL	159	2	2022-08-09 18:41:20 IST		y	1			11				B0B7JHB68M						B0B7JHB68M			0	DEFAULT																					300.0
ADE Reusable Fondant Silicone Mold Leaves Silicone Molds Set Mini Maple Leaf Rose Shaped DIY Handmade Baking Tools for Cake Chocolate Candy Ice Jelly Silicone Mold	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of oil or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	1008ZMX86UV	0A-6W57-XQZ7	575	1	2022-10-08 19:31:19 IST		y	1			11				B0BHPJM3RP						B0BHPJM3RP			0	DEFAULT																					1000.0
AMJ Swastika Hindu Symbol Silicon Mold (satiya)	The swastika symbol, silicon mould for more design	1202XOS80SE	0H-CTL7-A6WD	399	2	2020-12-02 18:38:27 IST		y	1			11				B08PFZY7ZQ						B08PFZY7ZQ			0	DEFAULT																					1000.0
AIP Lovely 3D Teddy Bear Silicone Mold Fondant Chocolate soap Candle Mould	Lovely 3d teddy bear silicone mold fondant chocolate soap candel mould size..7x4x3cm	1128XGMSLJX	0O-SLS9-WGJR	550	1	2020-11-28 16:17:03 IST		y	1			11				B08P8PNVD7						B08P8PNVD7			0	DEFAULT																					1000.0
AIU Peacock Feather Silicone Mold DIY Jewelry Cupcake Topper Fondant Cake Decorating Tools Candy Fimo Clay Chocolate Gumpaste Mould	Peacock Feather Silicone Mold DIY Jewelry Cupcake Topper Fondant Cake Decorating Tools Candy Fimo Clay Chocolate Gumpaste Mould Weight:11g Material: silicone	0203X576BEO	0U-MILL-37IU	119	2	2020-02-03 17:35:52 IST		y	1			11				B084G5GXFG						B084G5GXFG			0	DEFAULT	195.0	percent	4	20	8	30															300.0
HomeBakers Mart Human Face Silicone Fondant Mold Chocolate Polymer Clay Mould		0617Z5RYSX2	1D-5QJD-AMRX	278	3	2022-06-17 19:07:34 IST		y	1			11				B08ZJQ41F4						B08ZJQ41F4			0	DEFAULT																					400.0
AFB Victoria Holding Flowers Silicone Fondant Mold for Baking Candy Clay Chocolate Baking Molds DIY Cupcake Cake Decorating Tools		0809ZGPST6S	1F-JR3W-F4DZ	125	2	2022-08-09 19:38:05 IST		y	1			11				B0B4PB459J						B0B4PB459J			0	DEFAULT																					200.0
AIR Heart Candle Mould Titled dil Love tealight Silicone Mold		0906XNCR6C8	1HeartCandle	435	1	2020-09-07 01:23:38 IST		y	1			11				B08HL9591L						B08HL9591L			0	DEFAULT																					550.0
ANJ Human Face Silicone Fondant Mold Chocolate Polymer Clay Mould	100% silicone soft flexible mold, made in India	0215XT7P5OY	2Facesmolds	270	2	2020-02-15 17:28:58 IST		y	1			11				B084TNQGK2						B084TNQGK2			0	DEFAULT	360.0	percent	4	20																	500.0
