sku	asin	price	quantity
04-9AZR-H2CI	B09X1TQJNH	599.00	1
07-A304-9MBL	B08SBVZXJ6	285.00	2
0J-Y27N-HUMA	B08HL8BYJF	178.00	1
0P-I7VM-I07N	B0B5DZ32SY	549.00	1
0Q-S1JE-VS1G	B082914QFZ	205.00	3
0R-6ES4-45VX	B0BNQJMKMC	225.00	2
0S-OOV8-TD2D	B09SV39ZLC	175.00	1
0W-SHWH-0DID	B01LYXEFH7	210.00	2
0Z-RHW9-56E2	B093QCGGVG	221.00	1
1B-8ES0-TA9R	B08SMK5ZSS	188.00	3
1K-F26U-SFCR	B09SWM132H	299.00	2
1O-1OPX-0TM8	B0824NTK9V	138.00	4
1O-Y1I7-ANP9	B09YVHQC49	196.00	3
1T-DLQB-VVI4	B09Z8H7LJ4	890.00	2
1V-BV1Y-A6M0	B09TH2FYKQ	299.00	2
1Y-NRE1-N1FP	B0BM4GG67K	360.00	1
27-OHNA-KKS5	B09RG33QKL	517.00	3
2B-4BTZ-QRET	B0B6DM2L6G	197.00	2
2K-TTYM-PZ41	B0BBGY47GG	499.00	2
2S-YBLY-110Q	B08598GWDF	198.00	3
2T-7987-TDW4	B094456M5Y	500.00	1
2T-XMZL-7296	B0943X2TRZ	350.00	2
2U-R2O7-SS6W	B08PFZY7ZQ	378.00	2
2U-TYV0-37UT	B08HL6Z93P	165.00	4
30-3WQR-XIXQ	B09RMKH33G	378.00	2
31-5U19-RRK5	B0B4WL8ZT4	169.00	3
37-QFHA-FSCE	B08P8VXWS2	890.00	3
3C-F17B-N23T	B09RMMPYGN	650.00	2
3E-MEZ9-A95U	B09KS3Q3DH	670.00	2
3K-0YP8-DM8Z	B09KTV39R2	555.00	3
3Q-HWQ3-E2QX	B07S1WSL1X	192.00	4
3S-1GQ7-O0FD	B08SC7M44N	174.00	4
3Z-7UFT-RYEY	B09F6Y62Y1	600.00	3
41-79XR-XMZL	B08HL8BFGR	135.00	3
4F-M7UN-GAR3	B09X1Y75TG	799.00	2
50-H96K-I156	B08SC7J6TB	392.00	3
52-28G8-M1TE	B099WL7T47	326.00	2
54-BZFC-FOD7	B0BRJLH4GJ	499.00	2
56-QM5I-24OP	B09YVLDRCG	299.00	2
59-2L6W-NZAS	B08SC7M44N	174.00	4
5C-T3D9-4782	B07VWRG23L	625.00	2
5D-FR1M-JVEJ	B08MB18L9J	285.00	5
5I-NR8J-OKAU	B08MB1YJN7	186.00	3
5J-NZ5Y-XQ1R	B07QCC68T6	185.00	4
5J-P7CF-ZII1	B099WN4CVM	149.00	2
5K-X4JK-R8HT	B0BB9Y4GYH	499.00	2
5M-6QRX-VFB9	B0B5HBPWFL	199.00	3
5U-YDI5-SUE1	B0B6CHW2GQ	199.00	2
5W-UJ0A-CAWP	B0BMVGR9H8	525.00	2
5W-ZHQK-HW4C	B09Z711JF3	549.00	1
5Y-75NL-VZCB	B0823KF9RG	245.00	4
5Y-RT9O-NG1J	B0B4NV7X1T	119.00	2
61-EFLE-FF20	B0943RPW88	500.00	2
62-C77Z-20PA	B099X3GSCD	299.00	3
63-JJYP-EP7T	B0858ZH4W3	157.00	3
64-E2QM-2U3E	B084G5GXFG	128.00	2
65-71V9-SFGX	B099SD19TK	299.00	3
67-658U-2MLM	B08M62MWKN	285.00	4
69-DB82-B6OI	B0829TPYR7	260.00	3
6I-BLFD-VSXV	B094DH78PD	484.00	1
6N-OQX4-RNRH	B08NXKHQ9S	197.00	4
6X-R40V-W8OI	B08M62MWKN	283.00	4
73-DEDM-ES5T	B09KNCYBTT	105.00	3
73-QZCV-M6AK	B08SBW38B5	269.00	2
74-ESFC-441V	B084TNQGK2	299.00	4
74-WO59-LJGO	B09YRZ27T1	299.00	3
77-KS4W-CNON	B099S7LLK8	199.00	3
79-SK4N-ICK8	B09JWBGVVY	749.00	1
7Q-OU79-DIM6	B0BF533YNQ	210.00	3
7R-GTBT-GRMO	B09QMKPWG3	1500.00	1
7U-AWBX-14VO	B093SYJQ87	199.00	1
7X-7RTB-M9YQ	B08SM6WD38	285.00	3
85-KTNR-6A9T	B0BD5MDTNP	549.00	2
8A-K9QX-RR4Z	B0823KF9RG	240.00	2
8I-JSVN-HB6R	B099X2QTDZ	149.00	2
8O-JVEP-K1Y9	B0987J842C	980.00	1
