sku	asin	price	quantity
04-QZNO-H63U	B08M5LRXPX	272.00	4
09-E2HV-CARL	B0B7JHB68M	159.00	2
0A-6W57-XQZ7	B0BHPJM3RP	575.00	1
0H-CTL7-A6WD	B08PFZY7ZQ	399.00	2
0O-SLS9-WGJR	B08P8PNVD7	550.00	2
0U-MILL-37IU	B084G5GXFG	119.00	11
19-LGGX-DIIU	B08GY8914F	180.00	1
1D-5QJD-AMRX	B08ZJQ41F4	278.00	3
1F-JR3W-F4DZ	B0B4PB459J	125.00	2
1HeartCandle	B08HL9591L	435.00	1
2Facesmolds	B084TNQGK2	270.00	3
2W-HPUZ-9J6H	B08RP64YBP	187.00	2
31-OI53-TAWX	B0BR84TGS3	149.00	2
3W-XAU1-PZ89	B0BRBFSCYW	129.00	2
4T-VIM1-WJGT	B09SV198MS	245.00	1
4U-BSJ2-0TI2	B08M62MWKN	280.00	2
5B-JFSB-BMN6	B07QD9ZVHG	250.00	2
5I-3NNG-AFJL	B08SBJBY49	149.00	3
5S-HC25-U19Y	B08GM6RV2P	199.00	1
66-ZVS0-KZIU	B08SC7M44N	170.00	3
6A-VT5F-TPDZ	B0BR5Q5FXP	149.00	1
6I-WGJ2-JHON	B07YCM6H33	360.00	2
6L-P5AL-8PRU	B08SM6WD38	240.00	4
6Z-PCWI-N0K3	B08SQSF453	129.00	3
70-DNTO-6RUB	B0858ZH4W3	149.00	2
74-F0FH-3BXG	B0B7MNR4WJ	159.00	2
76-LVCV-64PY	B0BRCSSVPQ	249.00	1
7K-J1CR-NU58	B09SV39ZLC	175.00	2
8Y-2YHO-KVC5	B08FG7LT3K	350.00	1
9C-8J2J-XLZH	B083SNL1FD	370.00	1
AA-2HJ8-27QN	B0BHPHBWCN	199.00	2
AB-9UO1-6KSP	B0BHPHW7BD	349.00	1
Angel_collection_1	B07M5PQBQV	550.00	3
B3-EB9H-ML89	B08MCC5JT6	420.00	2
Baby_back_2	B07LC1SSWF	375.00	2
Baby_cart_1	B07LC3HD4H	365.00	1
Baby_heart_mold1	B07LC2FYX7	165.00	4
BicycleFlatMold	B08HHT9L3B	225.00	4
C6-AHUV-PIC3	B08F2NZFCC	179.00	3
CA-33AG-EHS8	B08P8VXWS2	900.00	2
CC_Cactus_mold	B08X2WQHSV	259.00	3
CC_RealDoggy_mold	B08X31JM79	950.00	1
CC_pineapple_mold	B08X3LD5FF	950.00	1
CC_teddyBear_mould	B08X3WR7LK	650.00	2
